Feature,Importance
Myl4_70627,1.3096384e-07
Mcoln3_57792,1.2983851e-07
Snx11_32113,1.08067844e-07
Rsad2_65054,1.0117677e-07
Klrd1_63559,9.221554e-08
Thnsl1_66164,8.565833e-08
Mettl14_68520,6.7657474e-08
Zfp39_58512,4.922443e-08
Il18_31667,3.9645094e-08
Dram2_71194,3.8666226e-08
mt-Nd4l_82096,3.6628467e-08
Parp11_69369,3.281134e-08
H2-M5_73158,3.1934288e-08
Rgs16_60383,2.8666877e-08
Ube3a_65027,2.3360103e-08
Ccl6_74906,2.2473195e-08
Gm3776_29765,1.7763266e-08
Ky_60676,1.7484835e-08
Nppa_58684,1.7316557e-08
Nkain4_82157,1.5895058e-08
Fam83h_59213,1.21321e-08
Wt1_63516,1.09685905e-08
Ifi44_55588,9.1442205e-09
Cyfip2_73223,8.294253e-09
mt-Nd1_82075,7.951051e-09
Hsph1_69147,7.6576665e-09
Myrf_65894,7.577626e-09
Omd_75393,6.090671e-09
Gbp4_67875,5.9508434e-09
Trim25_58251,5.927144e-09
Nrap_31919,5.48431e-09
Rb1cc1_65517,4.7523736e-09
2-Methylnaphthalene,3.1851561e-09
Egr1_30209,3.1016778e-09
Tnip3_58404,2.947969e-09
Gap43_70845,2.9028193e-09
Myl2_32080,2.6277986e-09
EAR12_31077,2.612371e-09
Tmem68_65264,2.3155435e-09
Slc12a4_60641,2.2635183e-09
Slc7a11_30093,1.6046058e-09
Tbx20_77085,1.5830404e-09
Anthracene,1.2231427e-09
Cnot10_70213,7.250169e-10
Al,5.360447e-10
Rad1_77614,4.7355564e-10
Ugt8a_79952,3.258608e-10
Lrrc10_60238,2.2302936e-10
Msln_61916,1.6229824e-10
S,1.4062561e-10
March3_58049,1.3476166e-10
Efhd1_74838,1.1011679e-10
Nkain4_74119,1.01620365e-10
Nr4a1_31133,1.0158243e-10
Ifit1_72951,9.946871e-11
