Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acadsb_76089,Acadsb,731.878,2.28E-02,-0.8982,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acbd6_71235,Acbd6,19.107,6.48E-02,0.9428,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ace_29814,Ace,1967.770,3.11E-02,0.6487,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ackr3_65273,Ackr3,819.139,1.45E-02,0.7015,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ackr4_79598,Ackr4,58.617,6.67E-02,-1.0239,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aco2_31448,Aco2,1306.642,3.74E-03,0.6843,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acot13_55305,Acot13,8155.493,3.75E-02,-0.6919,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acot9_64749,Acot9,81.680,2.75E-02,-0.7738,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acsl3_73569,Acsl3,168.771,1.79E-02,-0.6952,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acsl5_60831,Acsl5,242.596,1.33E-02,-0.7826,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Actl6a_65364,Actl6a,67.014,4.13E-02,0.5940,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Actn2_32214,Actn2,2193.147,2.62E-02,1.4677,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Actr6_74026,Actr6,92.447,1.38E-02,-0.8120,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Actr6_78642,Actr6,454.069,2.85E-03,-0.6820,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acyp1_74193,Acyp1,111.145,1.16E-03,-1.7090,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acyp1_80041,Acyp1,180.532,3.52E-02,-0.6073,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adam22_79503,Adam22,61.549,8.49E-02,-0.8938,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adam4_68918,Adam4,25.161,4.03E-02,-0.9725,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adamts2_62510,Adamts2,110.789,2.32E-02,0.7313,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adarb1_56966,Adarb1,83.898,6.99E-03,0.8112,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adgra3_59242,Adgra3,62.518,8.68E-02,-0.6389,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adgrd1_56894,Adgrd1,35.632,5.01E-02,-1.1525,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adgrg1_31534,Adgrg1,112.023,5.99E-02,0.6445,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adgrg3_64285,Adgrg3,32.427,2.21E-02,0.8724,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adora1_56938,Adora1,26.436,7.95E-02,1.0332,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adprm_57369,Adprm,13.032,9.13E-02,-1.0811,Yes,Yes,No
